"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2014","00","00000","United States","310,899,910","48,208,387","47,966,830","48,449,944","47,966,830 to 48,449,944","15.5","15.4","15.6","15.4 to 15.6","72,386,485","15,686,012","15,564,145","15,807,879","15,564,145 to 15,807,879","21.7","21.5","21.9","21.5 to 21.9","52,594,799","10,714,518","10,632,252","10,796,784","10,632,252 to 10,796,784","20.4","20.2","20.6","20.2 to 20.6","19,453,155","4,658,187","4,609,104","4,707,270","4,609,104 to 4,707,270","23.9","23.7","24.1","23.7 to 24.1","$53,657","$53,564","$53,750","$53,564 to $53,750"
"2013","00","00000","United States","308,196,783","48,810,868","48,554,692","49,067,044","48,554,692 to 49,067,044","15.8","15.7","15.9","15.7 to 15.9","72,382,173","16,086,960","15,948,844","16,225,076","15,948,844 to 16,225,076","22.2","22.0","22.4","22.0 to 22.4","52,605,987","10,958,232","10,860,529","11,055,935","10,860,529 to 11,055,935","20.8","20.6","21.0","20.6 to 21.0","19,438,875","4,811,689","4,759,374","4,864,004","4,759,374 to 4,864,004","24.8","24.5","25.1","24.5 to 25.1","$52,250","$52,185","$52,315","$52,185 to $52,315"
"2012","00","00000","United States","306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703","15.9","15.8","16.0","15.8 to 16.0","72,605,436","16,396,863","16,275,868","16,517,858","16,275,868 to 16,517,858","22.6","22.4","22.8","22.4 to 22.8","52,675,863","11,086,537","10,995,403","11,177,671","10,995,403 to 11,177,671","21.0","20.8","21.2","20.8 to 21.2","19,611,275","5,014,970","4,971,692","5,058,248","4,971,692 to 5,058,248","25.6","25.4","25.8","25.4 to 25.8","$51,371","$51,318","$51,424","$51,318 to $51,424"
"2011","00","00000","United States","303,778,193","48,452,035","48,217,869","48,686,201","48,217,869 to 48,686,201","15.9","15.8","16.0","15.8 to 16.0","72,802,773","16,386,500","16,262,247","16,510,753","16,262,247 to 16,510,753","22.5","22.3","22.7","22.3 to 22.7","52,708,799","10,976,987","10,882,675","11,071,299","10,882,675 to 11,071,299","20.8","20.6","21.0","20.6 to 21.0","19,772,854","5,110,087","5,061,357","5,158,817","5,061,357 to 5,158,817","25.8","25.6","26.0","25.6 to 26.0","$50,502","$50,429","$50,575","$50,429 to $50,575"
"2010","00","00000","United States","301,535,021","46,215,956","45,975,650","46,456,262","45,975,650 to 46,456,262","15.3","15.2","15.4","15.2 to 15.4","73,024,577","15,749,129","15,621,395","15,876,863","15,621,395 to 15,876,863","21.6","21.4","21.8","21.4 to 21.8","52,872,735","10,484,513","10,394,015","10,575,011","10,394,015 to 10,575,011","19.8","19.6","20.0","19.6 to 20.0","19,822,633","4,961,524","4,910,772","5,012,276","4,910,772 to 5,012,276","25.0","24.8","25.2","24.8 to 25.2","$50,046","$49,982","$50,110","$49,982 to $50,110"
"2009","00","00000","United States","299,026,555","42,868,163","42,631,574","43,104,752","42,631,574 to 43,104,752","14.3","14.3","14.4","14.3 to 14.4","73,347,404","14,656,962","14,526,159","14,787,765","14,526,159 to 14,787,765","20.0","19.8","20.2","19.8 to 20.2","52,143,306","9,509,142","9,419,830","9,598,454","9,419,830 to 9,598,454","18.2","18.1","18.4","18.1 to 18.4","20,878,285","4,849,988","4,792,377","4,907,599","4,792,377 to 4,907,599","23.2","23.0","23.5","23.0 to 23.5","$50,221","$50,147","$50,295","$50,147 to $50,295"
"2008","00","00000","United States","296,184,480","39,108,422","38,858,742","39,358,102","38,858,742 to 39,358,102","13.2","13.1","13.3","13.1 to 13.3","72,825,003","13,240,870","13,115,296","13,366,444","13,115,296 to 13,366,444","18.2","18.0","18.4","18.0 to 18.4","51,864,080","8,549,526","8,469,455","8,629,597","8,469,455 to 8,629,597","16.5","16.3","16.6","16.3 to 16.6","20,602,241","4,369,698","4,311,741","4,427,655","4,311,741 to 4,427,655","21.2","20.9","21.5","20.9 to 21.5","$52,029","$51,956","$52,102","$51,956 to $52,102"
"2007","00","00000","United States","293,744,043","38,052,247","37,829,283","38,275,211","37,829,283 to 38,275,211","13.0","12.9","13.0","12.9 to 13.0","72,665,911","13,097,100","12,981,173","13,213,027","12,981,173 to 13,213,027","18.0","17.9","18.2","17.9 to 18.2","51,904,411","8,499,844","8,419,720","8,579,968","8,419,720 to 8,579,968","16.4","16.2","16.5","16.2 to 16.5","20,348,501","4,229,120","4,178,842","4,279,398","4,178,842 to 4,279,398","20.8","20.5","21.0","20.5 to 21.0","$50,740","$50,665","$50,815","$50,665 to $50,815"
"2006","00","00000","United States","291,531,091","38,757,253","38,535,015","38,979,491","38,535,015 to 38,979,491","13.3","13.2","13.4","13.2 to 13.4","72,482,732","13,285,569","13,170,950","13,400,188","13,170,950 to 13,400,188","18.3","18.2","18.5","18.2 to 18.5","51,999,081","8,700,048","8,613,863","8,786,233","8,613,863 to 8,786,233","16.7","16.6","16.9","16.6 to 16.9","20,066,651","4,211,345","4,166,465","4,256,225","4,166,465 to 4,256,225","21.0","20.8","21.2","20.8 to 21.2","$48,451","$48,369","$48,533","$48,369 to $48,533"
"2005","00","00000","United States","287,270,432","38,231,474","37,934,924","38,528,024","37,934,924 to 38,528,024","13.3","13.2","13.4","13.2 to 13.4","72,023,983","13,360,273","13,217,771","13,502,775","13,217,771 to 13,502,775","18.5","18.4","18.7","18.4 to 18.7","51,658,744","8,765,541","8,662,789","8,868,293","8,662,789 to 8,868,293","17.0","16.8","17.2","16.8 to 17.2","19,959,312","4,242,948","4,187,205","4,298,691","4,187,205 to 4,298,691","21.3","21.0","21.5","21.0 to 21.5","$46,242","$46,138","$46,346","$46,138 to $46,346"
"2004","00","00000","United States","290,616,537","37,039,804","36,359,662","37,719,946","36,359,662 to 37,719,946","12.7","12.5","13.0","12.5 to 13.0","73,241,407","13,041,492","12,694,086","13,388,898","12,694,086 to 13,388,898","17.8","17.3","18.3","17.3 to 18.3","52,159,407","8,430,886","8,142,299","8,719,473","8,142,299 to 8,719,473","16.2","15.6","16.7","15.6 to 16.7","20,121,433","4,123,715","3,917,910","4,329,520","3,917,910 to 4,329,520","20.5","19.5","21.5","19.5 to 21.5","$44,334","$44,012","$44,656","$44,012 to $44,656"
"2003","00","00000","United States","287,699,184","35,861,170","35,190,401","36,531,939","35,190,401 to 36,531,939","12.5","12.2","12.7","12.2 to 12.7","72,999,159","12,865,806","12,519,657","13,211,955","12,519,657 to 13,211,955","17.6","17.2","18.1","17.2 to 18.1","52,278,842","8,399,573","8,111,130","8,688,016","8,111,130 to 8,688,016","16.1","15.5","16.6","15.5 to 16.6","19,763,309","4,021,366","3,817,517","4,225,215","3,817,517 to 4,225,215","20.3","19.3","21.4","19.3 to 21.4","$43,318","$43,009","$43,627","$43,009 to $43,627"
"2002","00","00000","United States","285,317,346","34,569,951","33,912,173","35,227,729","33,912,173 to 35,227,729","12.1","11.9","12.3","11.9 to 12.3","72,695,775","12,132,645","11,795,343","12,469,947","11,795,343 to 12,469,947","16.7","16.2","17.2","16.2 to 17.2","52,168,584","8,004,514","7,722,500","8,286,528","7,722,500 to 8,286,528","15.3","14.8","15.9","14.8 to 15.9","19,594,188","3,727,193","3,530,466","3,923,920","3,530,466 to 3,923,920","19.0","18.0","20.0","18.0 to 20.0","$42,409","$42,180","$42,638","$42,180 to $42,638"
"2001","00","00000","United States","281,474,939","32,906,511","32,262,565","33,550,457","32,262,565 to 33,550,457","11.7","11.5","11.9","11.5 to 11.9","72,020,548","11,732,684","11,403,410","12,061,958","11,403,410 to 12,061,958","16.3","15.8","16.7","15.8 to 16.7","51,820,491","7,662,294","7,387,461","7,937,127","7,387,461 to 7,937,127","14.8","14.3","15.3","14.3 to 15.3","19,257,993","3,575,879","3,383,307","3,768,451","3,383,307 to 3,768,451","18.6","17.6","19.6","17.6 to 19.6","$42,228","$42,016","$42,440","$42,016 to $42,440"
"2000","00","00000","United States","278,944,452","31,581,086","30,695,361","32,466,811","30,695,361 to 32,466,811","11.3","11.0","11.6","11.0 to 11.6","71,741,141","11,587,118","11,127,838","12,046,398","11,127,838 to 12,046,398","16.2","15.5","16.8","15.5 to 16.8","51,548,879","7,536,575","7,154,100","7,919,050","7,154,100 to 7,919,050","14.6","13.9","15.4","13.9 to 15.4","19,181,906","3,583,098","3,312,911","3,853,285","3,312,911 to 3,853,285","18.7","17.3","20.1","17.3 to 20.1","$41,990","$41,773","$42,207","$41,773 to $42,207"
"1999","00","00000","United States","276,207,757","32,791,272","31,891,000","33,691,544","31,891,000 to 33,691,544","11.9","11.5","12.2","11.5 to 12.2","71,684,956","12,280,321","11,810,623","12,750,019","11,810,623 to 12,750,019","17.1","16.5","17.8","16.5 to 17.8","51,642,359","8,188,068","7,791,630","8,584,506","7,791,630 to 8,584,506","15.9","15.1","16.6","15.1 to 16.6","18,968,750","3,594,416","3,323,894","3,864,938","3,323,894 to 3,864,938","18.9","17.5","20.4","17.5 to 20.4","$40,696","$40,383","$41,009","$40,383 to $41,009"
"1998","00","00000","United States","271,059,449","34,475,762","33,555,896","35,395,628","33,555,896 to 35,395,628","12.7","12.4","13.1","12.4 to 13.1","71,338,364","13,466,544","12,979,586","13,953,502","12,979,586 to 13,953,502","18.9","18.2","19.6","18.2 to 19.6","51,060,953","8,922,935","8,511,476","9,334,394","8,511,476 to 9,334,394","17.5","16.7","18.3","16.7 to 18.3","19,382,484","4,038,584","3,752,962","4,324,206","3,752,962 to 4,324,206","20.8","19.4","22.3","19.4 to 22.3","$38,885","$38,507","$39,263","$38,507 to $39,263"
"1997","00","00000","United States","NA","35,573,858","34,643,448","36,504,268","34,643,448 to 36,504,268","13.3","12.9","13.6","12.9 to 13.6","NA","14,113,067","13,617,857","14,608,277","13,617,857 to 14,608,277","19.9","19.2","20.6","19.2 to 20.6","NA","9,306,705","8,877,168","9,736,242","8,877,168 to 9,736,242","18.4","17.6","19.3","17.6 to 19.3","NA","4,223,539","3,932,014","4,515,064","3,932,014 to 4,515,064","21.7","20.2","23.2","20.2 to 23.2","$37,005","$36,724","$37,286","$36,724 to $37,286"
"1996","00","00000","United States","NA","36,529,140","35,637,610","37,420,670","35,637,610 to 37,420,670","13.7","13.4","14.1","13.4 to 14.1","NA","14,463,480","13,990,149","14,936,811","13,990,149 to 14,936,811","20.5","19.8","21.1","19.8 to 21.1","NA","9,311,378","8,914,055","9,708,701","8,914,055 to 9,708,701","18.6","17.8","19.4","17.8 to 19.4","NA","4,582,977","4,295,266","4,870,688","4,295,266 to 4,870,688","23.4","21.9","24.9","21.9 to 24.9","$35,492","$35,198","$35,786","$35,198 to $35,786"
"1995","00","00000","United States","NA","36,424,609","35,534,124","37,315,094","35,534,124 to 37,315,094","13.8","13.5","14.1","13.5 to 14.1","NA","14,665,019","14,189,284","15,140,754","14,189,284 to 15,140,754","20.8","20.1","21.5","20.1 to 21.5","NA","9,306,018","8,908,791","9,703,245","8,908,791 to 9,703,245","18.7","17.9","19.5","17.9 to 19.5","NA","4,816,366","4,522,061","5,110,671","4,522,061 to 5,110,671","24.2","22.7","25.6","22.7 to 25.6","$34,076","$33,752","$34,400","$33,752 to $34,400"
"1993","00","00000","United States","NA","39,264,811","38,346,811","40,182,811","38,346,811 to 40,182,811","15.1","14.8","15.5","14.8 to 15.5","NA","15,727,492","15,239,667","16,215,317","15,239,667 to 16,215,317","22.7","22.0","23.4","22.0 to 23.4","NA","9,814,133","9,407,946","10,220,320","9,407,946 to 10,220,320","20.4","19.6","21.3","19.6 to 21.3","NA","5,367,476","5,064,223","5,670,729","5,064,223 to 5,670,729","26.5","25.0","28.0","25.0 to 28.0","$31,241","$31,001","$31,481","$31,001 to $31,481"
"1989","00","00000","United States","NA","31,528,020","30,689,524","32,366,516","30,689,524 to 32,366,516","12.8","12.5","13.2","12.5 to 13.2","NA","12,589,930","12,140,795","13,039,065","12,140,795 to 13,039,065","19.6","18.9","20.3","18.9 to 20.3","NA","7,917,622","7,546,986","8,288,258","7,546,986 to 8,288,258","17.7","16.9","18.6","16.9 to 18.6","NA","4,083,407","3,810,572","4,356,242","3,810,572 to 4,356,242","21.7","20.2","23.1","20.2 to 23.1","$28,906","$28,644","$29,168","$28,644 to $29,168"
"2014","01","01000","Alabama","4,727,546","905,682","888,317","923,047","888,317 to 923,047","19.2","18.8","19.6","18.8 to 19.6","1,091,420","298,682","290,188","307,176","290,188 to 307,176","27.4","26.6","28.2","26.6 to 28.2","799,916","207,154","199,920","214,388","199,920 to 214,388","25.9","25.0","26.8","25.0 to 26.8","288,183","88,203","83,938","92,468","83,938 to 92,468","30.6","29.1","32.1","29.1 to 32.1","$42,917","$42,335","$43,499","$42,335 to $43,499"
"2013","01","01000","Alabama","4,716,072","889,091","873,141","905,041","873,141 to 905,041","18.9","18.6","19.2","18.6 to 19.2","1,096,240","300,649","291,502","309,796","291,502 to 309,796","27.4","26.6","28.2","26.6 to 28.2","801,058","205,023","197,115","212,931","197,115 to 212,931","25.6","24.6","26.6","24.6 to 26.6","291,362","92,126","87,734","96,518","87,734 to 96,518","31.6","30.1","33.1","30.1 to 33.1","$42,882","$42,260","$43,504","$42,260 to $43,504"
"2012","01","01000","Alabama","4,706,967","896,515","880,205","912,825","880,205 to 912,825","19.0","18.7","19.3","18.7 to 19.3","1,111,278","306,451","298,963","313,939","298,963 to 313,939","27.6","26.9","28.3","26.9 to 28.3","808,562","208,811","202,516","215,106","202,516 to 215,106","25.8","25.0","26.6","25.0 to 26.6","299,413","94,623","90,649","98,597","90,649 to 98,597","31.6","30.3","32.9","30.3 to 32.9","$41,610","$41,143","$42,077","$41,143 to $42,077"
"2011","01","01000","Alabama","4,687,327","896,117","879,174","913,060","879,174 to 913,060","19.1","18.7","19.5","18.7 to 19.5","1,114,604","307,310","298,317","316,303","298,317 to 316,303","27.6","26.8","28.4","26.8 to 28.4","812,029","209,724","201,714","217,734","201,714 to 217,734","25.8","24.8","26.8","24.8 to 26.8","298,962","94,184","89,925","98,443","89,925 to 98,443","31.5","30.1","32.9","30.1 to 32.9","$41,427","$40,894","$41,960","$40,894 to $41,960"
"2010","01","01000","Alabama","4,667,040","883,078","867,106","899,050","867,106 to 899,050","18.9","18.6","19.2","18.6 to 19.2","1,115,210","305,292","296,223","314,361","296,223 to 314,361","27.4","26.6","28.2","26.6 to 28.2","811,713","207,778","199,900","215,656","199,900 to 215,656","25.6","24.6","26.6","24.6 to 26.6","299,655","93,895","89,540","98,250","89,540 to 98,250","31.3","29.8","32.8","29.8 to 32.8","$40,538","$40,081","$40,995","$40,081 to $40,995"
"2009","01","01000","Alabama","4,588,886","805,223","789,114","821,333","789,114 to 821,333","17.5","17.2","17.9","17.2 to 17.9","1,115,169","274,243","265,833","282,654","265,833 to 282,654","24.6","23.8","25.3","23.8 to 25.3","800,884","181,942","175,085","188,799","175,085 to 188,799","22.7","21.9","23.6","21.9 to 23.6","311,058","89,398","84,576","94,221","84,576 to 94,221","28.7","27.2","30.3","27.2 to 30.3","$40,547","$40,037","$41,057","$40,037 to $41,057"
"2008","01","01000","Alabama","4,541,753","721,875","706,983","736,766","706,983 to 736,766","15.9","15.6","16.2","15.6 to 16.2","1,105,914","244,661","236,008","253,314","236,008 to 253,314","22.1","21.3","22.9","21.3 to 22.9","794,750","157,565","149,941","165,189","149,941 to 165,189","19.8","18.9","20.8","18.9 to 20.8","305,031","82,291","78,070","86,511","78,070 to 86,511","27.0","25.6","28.4","25.6 to 28.4","$42,586","$41,924","$43,248","$41,924 to $43,248"
"2007","01","01000","Alabama","4,506,569","750,197","734,699","765,695","734,699 to 765,695","16.6","16.3","17.0","16.3 to 17.0","1,105,467","261,151","252,546","269,756","252,546 to 269,756","23.6","22.8","24.4","22.8 to 24.4","797,945","174,665","166,811","182,519","166,811 to 182,519","21.9","20.9","22.9","20.9 to 22.9","302,511","81,858","78,293","85,424","78,293 to 85,424","27.1","25.9","28.2","25.9 to 28.2","$40,596","$40,178","$41,014","$40,178 to $41,014"
"2006","01","01000","Alabama","4,482,161","743,556","730,298","756,815","730,298 to 756,815","16.6","16.3","16.9","16.3 to 16.9","1,097,080","253,314","246,023","260,606","246,023 to 260,606","23.1","22.4","23.8","22.4 to 23.8","796,679","171,004","164,556","177,452","164,556 to 177,452","21.5","20.7","22.3","20.7 to 22.3","294,334","77,388","74,009","80,767","74,009 to 80,767","26.3","25.1","27.4","25.1 to 27.4","$38,811","$38,320","$39,302","$38,320 to $39,302"
"2005","01","01000","Alabama","4,429,785","749,592","734,673","764,511","734,673 to 764,511","16.9","16.6","17.3","16.6 to 17.3","1,072,696","260,919","252,894","268,944","252,894 to 268,944","24.3","23.6","25.1","23.6 to 25.1","772,561","172,197","165,523","178,871","165,523 to 178,871","22.3","21.4","23.2","21.4 to 23.2","293,225","83,890","79,692","88,088","79,692 to 88,088","28.6","27.2","30.0","27.2 to 30.0","$36,936","$36,431","$37,441","$36,431 to $37,441"
"2004","01","01000","Alabama","4,463,171","717,483","675,992","758,974","675,992 to 758,974","16.1","15.1","17.0","15.1 to 17.0","1,082,849","245,017","226,152","263,881","226,152 to 263,881","22.6","20.9","24.4","20.9 to 24.4","775,423","160,787","143,834","177,740","143,834 to 177,740","20.7","18.5","22.9","18.5 to 22.9","295,125","77,330","68,732","85,928","68,732 to 85,928","26.2","23.3","29.1","23.3 to 29.1","$37,062","$35,614","$38,510","$35,614 to $38,510"
"2003","01","01000","Alabama","4,436,894","677,455","644,647","710,263","644,647 to 710,263","15.3","14.5","16.0","14.5 to 16.0","1,091,889","243,658","227,912","259,403","227,912 to 259,403","22.3","20.9","23.8","20.9 to 23.8","788,134","165,578","153,639","177,517","153,639 to 177,517","21.0","19.5","22.5","19.5 to 22.5","293,161","72,477","62,361","82,594","62,361 to 82,594","24.7","21.3","28.2","21.3 to 28.2","$36,131","$34,659","$37,602","$34,659 to $37,602"
"2002","01","01000","Alabama","4,414,359","679,856","646,828","712,885","646,828 to 712,885","15.4","14.7","16.1","14.7 to 16.1","1,104,233","238,077","221,362","254,791","221,362 to 254,791","21.6","20.0","23.1","20.0 to 23.1","798,787","156,495","142,450","170,540","142,450 to 170,540","19.6","17.8","21.3","17.8 to 21.3","297,647","76,033","66,986","85,079","66,986 to 85,079","25.5","22.5","28.6","22.5 to 28.6","$35,943","$34,186","$37,700","$34,186 to $37,700"
"2001","01","01000","Alabama","4,373,427","685,071","655,302","714,839","655,302 to 714,839","15.7","15.0","16.3","15.0 to 16.3","1,096,934","242,907","223,243","262,570","223,243 to 262,570","22.1","20.4","23.9","20.4 to 23.9","797,182","160,001","142,584","177,418","142,584 to 177,418","20.1","17.9","22.3","17.9 to 22.3","289,881","75,623","68,058","83,188","68,058 to 83,188","26.1","23.5","28.7","23.5 to 28.7","$34,761","$33,377","$36,145","$33,377 to $36,145"
"2000","01","01000","Alabama","4,371,402","637,119","606,255","667,982","606,255 to 667,982","14.6","13.9","15.3","13.9 to 15.3","1,104,080","226,222","209,959","242,486","209,959 to 242,486","20.5","19.0","22.0","19.0 to 22.0","800,291","147,165","133,140","161,190","133,140 to 161,190","18.4","16.6","20.1","16.6 to 20.1","296,196","72,407","64,066","80,747","64,066 to 80,747","24.4","21.6","27.3","21.6 to 27.3","$34,923","$33,241","$36,606","$33,241 to $36,606"
"1999","01","01000","Alabama","4,368,014","667,468","625,251","709,685","625,251 to 709,685","15.3","14.3","16.2","14.3 to 16.2","1,120,718","248,412","220,295","276,528","220,295 to 276,528","22.2","19.7","24.7","19.7 to 24.7","804,291","161,413","137,117","185,709","137,117 to 185,709","20.1","17.0","23.1","17.0 to 23.1","293,558","80,329","66,230","94,427","66,230 to 94,427","27.4","22.6","32.2","22.6 to 32.2","$33,840","$32,372","$35,309","$32,372 to $35,309"
"1998","01","01000","Alabama","4,348,444","681,788","639,118","724,458","639,118 to 724,458","15.7","14.7","16.7","14.7 to 16.7","1,088,427","254,628","228,439","280,817","228,439 to 280,817","23.4","21.0","25.8","21.0 to 25.8","789,510","166,164","143,204","189,124","143,204 to 189,124","21.0","18.1","24.0","18.1 to 24.0","295,264","81,804","69,287","94,320","69,287 to 94,320","27.7","23.5","31.9","23.5 to 31.9","$33,204","$31,213","$35,194","$31,213 to $35,194"
"1997","01","01000","Alabama","NA","700,944","657,324","744,563","657,324 to 744,563","16.2","15.2","17.2","15.2 to 17.2","NA","260,970","239,479","282,460","239,479 to 282,460","23.8","21.8","25.7","21.8 to 25.7","NA","174,333","155,844","192,822","155,844 to 192,822","22.1","19.8","24.5","19.8 to 24.5","NA","77,360","66,700","88,020","66,700 to 88,020","25.5","22.0","29.0","22.0 to 29.0","$30,790","$29,131","$32,448","$29,131 to $32,448"
"1996","01","01000","Alabama","NA","717,822","674,862","760,782","674,862 to 760,782","16.7","15.7","17.7","15.7 to 17.7","NA","273,655","251,970","295,340","251,970 to 295,340","25.0","23.1","27.0","23.1 to 27.0","NA","176,441","156,534","196,348","156,534 to 196,348","22.5","20.0","25.1","20.0 to 25.1","NA","87,340","77,001","97,679","77,001 to 97,679","29.2","25.8","32.7","25.8 to 32.7","$29,618","$27,833","$31,403","$27,833 to $31,403"
"1995","01","01000","Alabama","NA","752,097","723,535","780,659","723,535 to 780,659","17.6","17.0","18.3","17.0 to 18.3","NA","291,046","275,169","306,922","275,169 to 306,922","26.4","25.0","27.8","25.0 to 27.8","NA","187,857","176,899","198,815","176,899 to 198,815","23.8","22.4","25.2","22.4 to 25.2","NA","96,545","84,990","108,101","84,990 to 108,101","31.6","27.8","35.4","27.8 to 35.4","$27,357","$25,953","$28,761","$25,953 to $28,761"
"1993","01","01000","Alabama","NA","790,351","748,956","831,746","748,956 to 831,746","18.8","17.8","19.8","17.8 to 19.8","NA","288,512","268,119","308,905","268,119 to 308,905","26.2","24.4","28.1","24.4 to 28.1","NA","187,081","169,998","204,164","169,998 to 204,164","24.2","22.0","26.4","22.0 to 26.4","NA","93,816","86,303","101,329","86,303 to 101,329","30.2","27.8","32.6","27.8 to 32.6","$25,907","$24,739","$27,075","$24,739 to $27,075"
"1989","01","01000","Alabama","NA","709,148","683,798","734,498","683,798 to 734,498","17.7","17.0","18.3","17.0 to 18.3","NA","258,656","243,761","273,551","243,761 to 273,551","24.1","22.7","25.5","22.7 to 25.5","NA","175,217","162,956","187,478","162,956 to 187,478","22.7","21.1","24.3","21.1 to 24.3","NA","75,536","66,684","84,388","66,684 to 84,388","25.9","22.9","29.0","22.9 to 29.0","$22,202","$21,126","$23,278","$21,126 to $23,278"
"2014","02","02000","Alaska","717,708","81,622","77,611","85,633","77,611 to 85,633","11.4","10.8","12.0","10.8 to 12.0","182,233","28,273","26,300","30,246","26,300 to 30,246","15.5","14.4","16.6","14.4 to 16.6","128,484","18,113","16,500","19,726","16,500 to 19,726","14.1","12.8","15.4","12.8 to 15.4","52,597","9,170","8,090","10,250","8,090 to 10,250","17.4","15.3","19.5","15.3 to 19.5","$70,898","$69,423","$72,373","$69,423 to $72,373"
"2013","02","02000","Alaska","718,370","72,643","69,056","76,230","69,056 to 76,230","10.1","9.6","10.6","9.6 to 10.6","184,278","25,030","23,088","26,972","23,088 to 26,972","13.6","12.5","14.7","12.5 to 14.7","129,048","16,118","14,436","17,800","14,436 to 17,800","12.5","11.2","13.8","11.2 to 13.8","54,521","8,148","7,208","9,088","7,208 to 9,088","14.9","13.2","16.6","13.2 to 16.6","$70,058","$68,425","$71,691","$68,425 to $71,691"
"2012","02","02000","Alaska","715,616","77,494","74,043","80,945","74,043 to 80,945","10.8","10.3","11.3","10.3 to 11.3","184,137","28,125","26,359","29,891","26,359 to 29,891","15.3","14.3","16.3","14.3 to 16.3","129,377","17,409","15,915","18,903","15,915 to 18,903","13.5","12.3","14.7","12.3 to 14.7","53,810","9,792","8,887","10,697","8,887 to 10,697","18.2","16.5","19.9","16.5 to 19.9","$66,503","$65,013","$67,993","$65,013 to $67,993"
"2011","02","02000","Alaska","706,859","76,021","72,599","79,443","72,599 to 79,443","10.8","10.3","11.3","10.3 to 11.3","185,264","27,192","25,130","29,254","25,130 to 29,254","14.7","13.6","15.8","13.6 to 15.8","130,935","17,857","16,000","19,714","16,000 to 19,714","13.6","12.2","15.0","12.2 to 15.0","53,606","8,473","7,472","9,474","7,472 to 9,474","15.8","13.9","17.7","13.9 to 17.7","$65,699","$64,147","$67,251","$64,147 to $67,251"
"2010","02","02000","Alaska","696,834","76,850","72,916","80,784","72,916 to 80,784","11.0","10.4","11.6","10.4 to 11.6","183,629","27,209","25,096","29,322","25,096 to 29,322","14.8","13.6","16.0","13.6 to 16.0","129,536","15,714","13,861","17,567","13,861 to 17,567","12.1","10.7","13.5","10.7 to 13.5","52,945","10,481","9,515","11,447","9,515 to 11,447","19.8","18.0","21.6","18.0 to 21.6","$63,456","$62,061","$64,851","$62,061 to $64,851"
"2009","02","02000","Alaska","682,420","61,949","58,489","65,410","58,489 to 65,410","9.1","8.6","9.6","8.6 to 9.6","180,201","22,221","20,228","24,213","20,228 to 24,213","12.3","11.2","13.4","11.2 to 13.4","125,670","13,145","11,501","14,789","11,501 to 14,789","10.5","9.2","11.8","9.2 to 11.8","53,015","8,017","6,908","9,125","6,908 to 9,125","15.1","13.0","17.2","13.0 to 17.2","$66,712","$65,176","$68,247","$65,176 to $68,247"
"2008","02","02000","Alaska","669,799","61,871","58,506","65,236","58,506 to 65,236","9.2","8.7","9.7","8.7 to 9.7","176,013","21,872","20,117","23,628","20,117 to 23,628","12.4","11.4","13.4","11.4 to 13.4","123,653","12,927","11,387","14,467","11,387 to 14,467","10.5","9.2","11.7","9.2 to 11.7","50,635","7,582","6,768","8,396","6,768 to 8,396","15.0","13.4","16.6","13.4 to 16.6","$67,332","$65,719","$68,945","$65,719 to $68,945"
"2007","02","02000","Alaska","666,598","65,266","62,165","68,367","62,165 to 68,367","9.8","9.3","10.3","9.3 to 10.3","178,786","23,356","21,652","25,060","21,652 to 25,060","13.1","12.1","14.0","12.1 to 14.0","127,442","13,787","12,273","15,301","12,273 to 15,301","10.8","9.6","12.0","9.6 to 12.0","49,754","8,104","7,332","8,877","7,332 to 8,877","16.3","14.7","17.8","14.7 to 17.8","$62,854","$61,569","$64,138","$61,569 to $64,138"
